"X","Subject.ID","Total.Mass","Lean.Mass","Fat.Mass","Time.of.Day","Group","Hourly.Food.Intake","Hourly.Water.Intake","Cumulative.Food.Intake","Cumulative.Water.Intake","Oxygen.Consumption","Carbon.Dioxide.Production","Energy.Expenditure","Respiratory.Exchange.Ratio","Locomotor.Activity","Ambulatory.Activity","Pedestrian.Locomotion","Total.Distance..includes.fine.movement.","Energy.Balance","Acclimated"
107,"V16",16.7,11.25405,2.094025,"Dark","Vanderbilt",0.498262777,0.105886513,24.175252,7.311153,68.10179269,65.92911125,0.341306763,0.962521352,0.206643305,NA,0.774885417,0.960146759,0.156956014,TRUE
108,"V16",16.7,11.25405,2.094025,"Light","Vanderbilt",0.125393244,0.055237024,25.20033754,7.638165,59.40392095,53.27611272,0.293034232,0.891739815,0.092906986,NA,0.292801587,0.377658333,-0.167640988,TRUE
109,"V2",20.285,14.6791,1.349935,"Full day","Vanderbilt",0.2828137,0.081759412,24.0391645,8.310786,72.79464641,65.39331361,0.359208707,0.882786221,0.158919628,NA,0.801799252,0.939124786,-0.076395007,TRUE
110,"V2",20.285,14.6791,1.349935,"Dark","Vanderbilt",0.430497741,0.120797667,23.7839885,8.072781,83.91175481,79.16662606,0.418254516,0.933358726,0.237210978,NA,1.397265972,1.601859954,0.012243225,TRUE
111,"V2",20.285,14.6791,1.349935,"Light","Vanderbilt",0.157603318,0.048661761,24.0391645,8.310786,63.26569635,53.58761722,0.308598015,0.83943836,0.091812756,NA,0.291399206,0.371066071,-0.150994697,TRUE
112,"V3",20.25,14.63275,1.6523,"Dark","Vanderbilt",0.337743537,0.159068846,16.89639098,9.39338,85.68313405,80.85844206,0.427106672,0.937270554,0.279429938,NA,1.265435648,1.530108333,-0.089363135,TRUE
113,"V3",20.25,14.63275,1.6523,"Full day","Vanderbilt",0.206542951,0.090477729,17.55615082,9.487952,75.28385514,67.44226502,0.371284821,0.883444905,0.171257481,NA,0.680073825,0.846299145,-0.16474187,TRUE
114,"V3",20.25,14.63275,1.6523,"Light","Vanderbilt",0.095307671,0.032324391,17.55615082,9.487952,66.3701875,55.9426847,0.323437519,0.837308634,0.078538232,NA,0.178335119,0.260176984,-0.228129848,TRUE
115,"V4",18.095,13.02585,1.335265,"Light","Vanderbilt",0.179738308,0.043187217,24.6951349,9.166758,63.11022331,55.239152,0.309811893,0.868902097,0.125134624,NA,0.328808929,0.458061706,-0.130073585,TRUE
116,"V4",18.095,13.02585,1.335265,"Full day","Vanderbilt",0.290530999,0.085087447,24.6951349,9.166758,71.40539163,65.1583375,0.353473769,0.901584211,0.19253585,NA,0.846308226,1.024804808,-0.06294277,TRUE
117,"V4",18.095,13.02585,1.335265,"Dark","Vanderbilt",0.421209557,0.134508231,24.6951349,9.068478,81.08308801,76.73072058,0.404412625,0.939713344,0.271170613,NA,1.450057407,1.686005093,0.016796932,TRUE
118,"V5",19.37,13.80405,1.485965,"Dark","Vanderbilt",0.325516109,0.176791923,15.53160048,11.95369,78.52210063,74.66167519,0.392031409,0.945825769,0.242641523,NA,1.138630093,1.364012963,-0.066515301,TRUE
119,"V5",19.37,13.80405,1.485965,"Light","Vanderbilt",0.063987657,0.058630696,15.63856048,12.27934,62.58198659,54.83946857,0.307288063,0.871800788,0.058505489,NA,0.271556349,0.327098016,-0.243300405,TRUE
120,"V5",19.37,13.80405,1.485965,"Full day","Vanderbilt",0.183983064,0.112845847,15.63856048,12.27934,69.9389623,63.98817932,0.346400376,0.905966164,0.143491351,NA,0.671744231,0.805674145,-0.162417312,TRUE
121,"V6",17.225,12.76905,0.876712,"Light","Vanderbilt",0.067620893,0.035024478,23.51980494,8.978824,62.85136901,55.95333563,0.309581635,0.883117182,0.13851287,NA,0.365096627,0.505586706,-0.241960742,TRUE
122,"V6",17.225,12.76905,0.876712,"Dark","Vanderbilt",0.523313946,0.150342513,23.49207556,8.620271,77.95416738,75.14436475,0.390327042,0.956326094,0.279534226,NA,1.267323611,1.511829167,0.132986904,TRUE
123,"V6",17.225,12.76905,0.876712,"Full day","Vanderbilt",0.276703588,0.087935106,23.51980494,8.978824,69.82189134,64.81073369,0.346848746,0.91690591,0.20359965,NA,0.781509081,0.970006303,-0.070145158,TRUE
